Discipline,FY,financial_Table,Category,Description,Amount
EM,1819,col 3,Training and Education Costs, EM Board Exam Fee - 1 Resident ,420
EM,1819,col 4,Training and Education Costs, ACLS On-line Certification - 1 Resident ,144
EM,1819,col 5,Training and Education Costs, ROSH Review Board Prep - 2 Residents ,1198
EM,1819,col 6,Training and Education Costs, EM:RAP Education and Board Prep Course - 2 Residents ,990
EM,1819,col 7,Training and Education Costs, ACLS and PAL On-line Certification - 1 Resident ,288
EM,1819,col 8,"Memberships, Subscriptions and Professional Activity Costs", AAEM Membership - 1 Faculty ,787.5
EM,1819,col 9,Licensing Fees, EM Oral Certification Licensing Fee - 1 Resident ,1255
EM,1819,col 10,Training and Education Costs, Textbooks - 2 residents ,394.37
EM,1819,col 11,"Memberships, Subscriptions and Professional Activity Costs", ACEP Membership Dues - 8 Residents ,3080
EM,1819,col 12,Faculty Development, NAEMSP/ACEP EMS Certification Review Course - 1 Faculty ,750
EM,1819,col 13,Training and Education Costs, ATLS Certification Course - 3 Resdients ,2100
EM,1819,col 14,Training and Education Costs, NRP Certification Course - 1 Resident ,35
EM,1819,col 15,Training and Education Costs, EM:RAP Education and Board Review - 1 Resident ,495
EM,1819,col 16,Licensing Fees, California Medical License Fee - 1 Resident ,830
EM,1819,col 17,Training and Education Costs, ROSH Review Board Prep - 1 Resident ,698
EM,1819,col 18,Training and Education Costs, NRP Certification Course - 1 Resident ,35
EM,1819,col 19,"Memberships, Subscriptions and Professional Activity Costs", ACEP Membership Dues - 1 Faculty ,950
EM,1819,col 20,Training and Education Costs, Textbooks - 5 Residents ,785
EM,1819,col 21,Training and Education Costs, ATLS Certification Course - 1 Resident ,700
EM,1819,col 22,Faculty Development, ATLS Certification Course - 1 Resident ,700
EM,1819,col 23,Licensing Fees, DEA License - 1 Resident ,888
EM,1819,col 24,Licensing Fees, CA Medical License - 1 Resident ,830
EM,1819,col 25,Licensing Fees, DEA License - 2 Residents ,1776
EM,1819,col 26,Licensing Fees, CA Medical License - 1 Resident ,830
EM,1819,col 27,Faculty Development, Faculty Development Consultant Training ,1000
EM,1819,col 28,"Memberships, Subscriptions and Professional Activity Costs", Publication Expense CPCEM - 1 Resident ,600
EM,1819,col 29,"Memberships, Subscriptions and Professional Activity Costs", CORD Membership - 1 Faculty ,775
EM,1819,col 30,"Salaries, Benefits and Wages for Faculty", Ultrasound Teaching Stipend - 1 Faculty ,17280
EM,1819,col 31,"Salaries, Benefits and Wages for Faculty", Ultrasound Teaching Stipend - 1 Faculty ,5400
EM,1819,col 32,Travel Conferences, ACEP Scientific Assembly Conference Travel Costs - 7 Residents ,16552.73
EM,1819,col 33,"Memberships, Subscriptions and Professional Activity Costs", Wilderness Medicine Society Membership - 1 Resdient ,325
EM,1819,col 34,Licensing Fees, CA Medical License ,830
EM,1819,col 35,"Memberships, Subscriptions and Professional Activity Costs", Society for Simulation in Healthcare Membership - 1 Faculty ,185
EM,1819,col 36,Training and Education Costs, PALS Certification - 1 Resident ,144
EM,1819,col 37,Unused Funds, Unspent Funds ,397785.21
